"Id","Label","Degree","Betweenness","Expression"
"10488","CREB3",2,2985,0.43196
"10492","SYNCRIP",2,2985,0.52282
"10494","STK25",2,2985,0.56111
"1050","CEBPA",2,2985,0
"10550","ARL6IP5",2,2985,0
"10572","SIVA1",2,2985,0.52386
"10580","SORBS1",2,2985,0
"1059","CENPB",2,2985,0.33797
"10765","KDM5B",2,2985,0
"1080","CFTR",2,2985,0
"10813","UTP14A",2,2985,0.59125
"10919","EHMT2",2,2985,0
"10951","CBX1",2,2985,0
"10956","OS9",2,2985,0.71256
"10959","TMED2",2,2985,0
"10980","COPS6",2,2985,0.556
"10987","COPS5",2,2985,0
"10989","IMMT",2,2985,0.62076
"11007","CCDC85B",2,2985,0
"11056","DDX52",2,2985,0
"11059","WWP1",2,2985,0
"1108","CHD4",2,2985,0.35321
"11091","WDR5",2,2985,0
"11117","EMILIN1",2,2985,0.36701
"11133","KPTN",2,2985,0
"11137","PWP1",2,2985,0.39223
"1114","CHGB",2,2985,0
"11151","CORO1A",2,2985,0.37431
"11187","PKP3",2,2985,0
"11266","DUSP12",2,2985,0
"11273","ATXN2L",2,2985,0.34116
"112939","NACC1",2,2985,0
"112950","MED8",2,2985,0.60214
"113246","C12orf57",2,2985,1.0762
"11331","PHB2",2,2985,0.90332
"11333","PDAP1",2,2985,0.62983
"114034","TOE1",2,2985,0.47518
"116540","MRPL53",2,2985,0.73512
"117157","SH2D1B",2,2985,0.34098
"1175","AP2S1",2,2985,0
"1192","CLIC1",2,2985,0.69002
"123016","TTC8",2,2985,0
"125","ADH1B",2,2985,0
"1285","COL4A3",2,2985,0
"134492","NUDCD2",2,2985,0
"1380","CR2",2,2985,0
"1386","ATF2",2,2985,0.45201
"140738","TMEM37",2,2985,0
"149461","CLDN19",2,2985,0.37883
"151246","SGOL2",2,2985,0
"151871","DPPA2",2,2985,0
"1528","CYB5A",2,2985,0
"1653","DDX1",2,2985,0.59458
"1717","DHCR7",2,2985,0
"1859","DYRK1A",2,2985,0
"1893","ECM1",2,2985,0.39961
"1915","EEF1A1",2,2985,1.3271
"1956","EGFR",2,2985,0
"195814","SDR16C5",2,2985,0
"1969","EPHA2",2,2985,0.4357
"200081","TXLNA",2,2985,0.42534
"2026","ENO2",2,2985,0.6854
"2055","CLN8",2,2985,0
"2066","ERBB4",2,2985,0
"207","AKT1",2,2985,0.37389
"213","ALB",2,2985,0
"2147","F2",2,2985,0
"219293","ATAD3C",2,2985,0.60857
"2260","FGFR1",2,2985,0
"2273","FHL1",2,2985,0
"22897","CEP164",2,2985,0
"22950","SLC4A1AP",2,2985,0.48776
"22985","ACIN1",2,2985,0.41932
"2302","FOXJ1",2,2985,0
"23054","NCOA6",2,2985,0.36072
"2313","FLI1",2,2985,0.38508
"23166","STAB1",2,2985,0.48915
"23170","TTLL12",2,2985,0.40436
"23243","ANKRD28",2,2985,0
"23268","DNMBP",2,2985,0.45169
"2335","FN1",2,2985,0
"23392","KIAA0368",2,2985,0
"23408","SIRT5",2,2985,0
"23466","CBX6",2,2985,0.33599
"23529","CLCF1",2,2985,0
"2353","FOS",2,2985,0
"23556","PIGN",2,2985,0
"23595","ORC3",2,2985,0.37127
"25","ABL1",2,2985,0
"253980","KCTD13",2,2985,0.40791
"25842","ASF1A",2,2985,0.40545
"25865","PRKD2",2,2985,0.37271
"25936","NSL1",2,2985,0
"25974","MMACHC",2,2985,0
"26001","RNF167",2,2985,0.48433
"26009","ZZZ3",2,2985,0.37277
"2638","GC",2,2985,0
"2643","GCH1",2,2985,0
"2647","BLOC1S1",2,2985,0.49694
"2648","KAT2A",2,2985,0.34469
"26580","BSCL2",2,2985,0
"2664","GDI1",2,2985,0.51989
"26986","PABPC1",2,2985,0.37406
"27111","SDCBP2",2,2985,0
"2729","GCLC",2,2985,0.45934
"2731","GLDC",2,2985,0.38709
"2773","GNAI3",2,2985,0.54495
"285527","FRYL",2,2985,0
"2867","FFAR2",2,2985,0.33262
"2885","GRB2",2,2985,0
"2896","GRN",2,2985,0
"29","ABR",2,2985,0
"29924","EPN1",2,2985,0
"29950","SERTAD1",2,2985,0.38872
