"Id","Label","Degree","Betweenness","Expression"
"6767","ST13",42,65729.61,0.82298
"3032","HADHB",42,58414.29,0.6444
"9443","MED7",41,66042.03,-0.43508
"9276","COPB2",41,65220.72,0.60675
"26156","RSL1D1",41,39278.55,0.71901
"6629","SNRPB2",41,28365.8,1.326
"4105","MAGEA6",40,61572.81,1.1781
"5433","POLR2D",40,51474.72,0.93979
"3516","RBPJ",40,31025.25,0.59643
"7189","TRAF6",39,95161.02,0
"55054","ATG16L1",39,81059.19,0.51699
"8314","BAP1",39,80967.47,0.43935
"80349","WDR61",39,69185.59,0.44564
"273","AMPH",39,64882.07,-0.51884
"26058","GIGYF2",39,59375.22,0.62376
"7360","UGP2",39,52164.31,0.62759
"55234","SMU1",39,46852.54,0.64686
"5292","PIM1",39,37334,0.43249
"10537","UBD",39,30349.93,0
"23499","MACF1",38,85058.84,0.80929
"5226","PGD",38,48445.68,0.88388
"2539","G6PD",38,45777.63,0.72142
"824","CAPN2",38,27982.34,0.4519
"8407","TAGLN2",38,27495.19,1.2344
"7167","TPI1",37,34236.69,1.04
"8660","IRS2",37,30443.63,0.6378
"2036","EPB41L1",36,60193.7,0.39503
"6281","S100A10",36,54859.3,0.55219
"64682","ANAPC1",36,53626.57,0.58582
"6934","TCF7L2",36,43984.53,0.55998
"5329","PLAUR",36,43179.28,0.91842
"10487","CAP1",36,35378.92,0.77877
"3106","HLA-B",36,29752.72,0
"118460","EXOSC6",35,81439.64,0.68636
"64976","MRPL40",35,78586.78,1.1425
"3326","HSP90AB1",35,58438.91,0
"864","RUNX3",35,56503.31,0.53106
"5985","RFC5",35,41196.28,0.52812
"3122","HLA-DRA",35,41020.36,1.4993
"7812","CSDE1",35,38397.69,0.71932
"7159","TP53BP2",35,21791.89,0.40812
"7412","VCAM1",35,18674.13,0
"8065","CUL5",35,16640.22,0
"54726","OTUD4",34,90221.05,0.48256
"7415","VCP",34,58122.64,0
"7385","UQCRC2",34,56296.58,0.39538
"1810","DR1",34,47539.2,0.76017
"3417","IDH1",34,42587.58,0.51132
"4193","MDM2",33,79254.13,0
"3690","ITGB3",33,50046.26,0.55824
"57761","TRIB3",33,36611.41,0.83407
"84289","ING5",32,72494.33,0.58967
"23019","CNOT1",32,70696.13,0.4692
"10916","MAGED2",32,55584.49,0.87603
"23085","ERC1",32,51913.46,0.78328
"1871","E2F3",32,44531.87,0.40311
"2887","GRB10",32,44297.72,0.42818
"308","ANXA5",32,40277.91,0.82352
"55072","RNF31",32,39335.36,0.44565
"55193","PBRM1",32,36878.97,0.39553
"2305","FOXM1",32,25927.94,0.81222
"8453","CUL2",32,13517.3,0
"9641","IKBKE",32,13232.34,0
"6275","S100A4",31,61865.63,0.63012
