"Id","Label","Degree","Betweenness","Expression"
"891","CCNB1",98,126240.96,-289.076102025012
"373156","GSTK1",98,119613.16,-79.8823908802309
"292","SLC25A5",98,57724.85,-214.610557287157
"6632","SNRPD1",97,34951.65,-65.6172157287157
"2023","ENO1",96,149664.04,1310.40402013708
"54984","PINX1",96,79436.78,-34.9998582186147
"1956","EGFR",95,104906.27,0
"8453","CUL2",94,49623.84,0
"22827","PUF60",93,60048.82,-36.4794853759019
"5728","PTEN",92,182231.63,50.4250211430495
"1958","EGR1",92,152305.61,0
"51035","UBXN1",92,79637.01,-78.2279304256855
"6950","TCP1",92,54351.9,-154.936744734007
"9094","UNC119",91,137966.91,-14.7606247195767
"51619","UBE2D4",91,79629.14,-22.8302494776335
"9219","MTA2",91,68042.64,-0.885214758537759
"6498","SKIL",90,199465.93,73.5743214040644
"4000","LMNA",90,119657.98,-50.3047336796537
"3326","HSP90AB1",90,88904.2,0
"10477","UBE2E3",90,70690.54,40.5383267145262
"5702","PSMC3",90,64450.71,-53.7125433795094
"10594","PRPF8",90,62213.42,-10.1318330222824
"9188","DDX21",90,48506.66,18.6845719273689
"3875","KRT18",89,148546.22,5.59249211688312
"5245","PHB",89,121472.59,-72.2527212457912
"7536","SF1",89,77706.97,-31.9366998556999
"55588","MED29",89,67339.71,-15.0704894540645
"3688","ITGB1",88,156091.24,89.7743672121212
"4673","NAP1L1",88,90071.84,-121.681858884079
"5052","PRDX1",88,82089.47,-240.192584059644
"6633","SNRPD2",88,47310.83,-265.55329047619
"11337","GABARAP",87,149732.18,-196.760586491342
"2017","CTTN",87,86818.51,-590.863511664262
"7185","TRAF1",86,180851.28,3.6283028961039
"6880","TAF9",86,97384.31,-78.0382621957672
"10971","YWHAQ",86,60034.78,0
"5706","PSMC6",86,33612.44,-20.4927327080327
"5573","PRKAR1A",85,179268.96,-45.191627473545
"6778","STAT6",85,162185.32,7.2763868032708
"23385","NCSTN",85,83666.7,-49.8202121447812
"10014","HDAC5",85,52599.23,0
"3646","EIF3E",85,49915.94,-115.397657623858
"4297","MLL",84,131601.6,-13.6246408793891
"3297","HSF1",84,110778.77,-2.21482033982195
"672","BRCA1",84,105504.97,0
"8661","EIF3A",84,41552.14,28.7002834417989
"9861","PSMD6",84,21284.96,-63.067694011544
"9924","PAN2",83,42228.09,0
"79001","VKORC1",82,281219.52,-54.1525278210678
"7020","TFAP2A",82,159887.23,-36.9875030699856
"6446","SGK1",82,84454.97,-322.47756277874
"1785","DNM2",81,121586.19,-5.48511956147109
"3159","HMGA1",81,80947.13,10.2101900291005
"10574","CCT7",81,33714.59,65.9980449393939
"6696","SPP1",80,152440.34,-487.370304763348
"5434","POLR2E",80,86966.65,-137.127987229437
"908","CCT6A",80,37232.97,-63.867163039923
"10951","CBX1",79,95065.89,-12.7146504997595
"1457","CSNK2A1",79,68283.42,0
"6628","SNRPB",79,47349.28,-151.273054591639
"4801","NFYB",78,168702.17,18.7731221240981
"60491","NIF3L1",78,116615.87,33.6344112022607
"7416","VDAC1",78,54800.39,-61.8307441620972
"6749","SSRP1",78,49990.71,-16.7517288840789
"7280","TUBB2A",78,46773.64,-18.1443818379028
"6634","SNRPD3",78,45740.85,89.3218171981722
"5709","PSMD3",78,22311.56,-12.0858852539683
"9368","SLC9A3R1",77,175964.97,-13.1433690586821
"821","CANX",77,136077.33,-63.0964162698413
"11331","PHB2",77,87431.15,50.2648662243867
"1207","CLNS1A",77,46505.04,-145.244196842232
"10514","MYBBP1A",77,39895.48,-13.0167685945166
"1452","CSNK1A1",76,164063.68,-110.795742063492
"1647","GADD45A",76,111401.52,10.217742497114
"50618","ITSN2",76,102571.81,10.2216657994228
"567","B2M",75,112532.08,207.50729009139
"2274","FHL2",75,96079.85,79.939622487013
"10197","PSME3",75,62103.14,-30.5572248953824
"10097","ACTR2",75,59799.13,36.8158141305916
"5691","PSMB3",75,26811.95,-180.988566979317
"3396","ICT1",74,17296.33,0
"1499","CTNNB1",73,114236.26,0
"55284","UBE2W",73,79667.86,-20.5579890481001
"7295","TXN",72,106682.37,-97.7672063732564
"65125","WNK1",72,82602.16,25.2616341993506
"302","ANXA2",72,53783.62,643.880468350168
"5250","SLC25A3",71,92205.75,-72.1748266916787
"1973","EIF4A1",71,43794.49,-42.7655771572871
"9319","TRIP13",70,211375.12,-13.757946480279
"23557","SNAPIN",70,143983.91,-44.2899282279942
"3727","JUND",70,98726.49,-3.98548446320346
"468","ATF4",70,90286.16,80.550805511544
"84959","UBASH3B",70,45097.54,17.7263180668591
"5692","PSMB4",70,31700.91,-537.87352472583
"409","ARRB2",70,24866.04,0
"54472","TOLLIP",69,86176.03,-20.198509497595
"322","APBB1",69,80084.48,-6.45451416666667
"23197","FAF2",69,73030.43,-17.0728857513227
"8517","IKBKG",69,50193.56,0
"5519","PPP2R1B",69,50010.34,-28.4483768451178
"23193","GANAB",69,45496.76,-10.157544521164
"25843","MOB4",69,38014.03,19.2304135689346
"5690","PSMB2",69,34674.19,-37.4402423578644
"8665","EIF3F",69,25686.25,-23.5468437772968
"871","SERPINH1",68,68505.02,2.72862385521885
"7320","UBE2B",68,56544.01,-364.187864456469
"3643","INSR",68,51733.17,-22.1771712003367
"26354","GNL3",68,48482.74,44.5743423314093
"5718","PSMD12",68,12815.62,-78.3399014694564
"6840","SVIL",67,130993.58,80.1642800161135
"55611","OTUB1",67,63452.3,-72.4555965416065
"6742","SSBP1",67,46956.23,-66.3471625673401
"7013","TERF1",67,32083.18,0
"7046","TGFBR1",66,72741.68,-15.5092445309764
"1022","CDK7",66,55023.86,-22.2639560762386
"4628","MYH10",66,43448.69,-47.9568458806878
"3939","LDHA",66,38120.4,-987.808677402598
"4843","NOS2",66,31166.88,0
"1000","CDH2",65,108330.41,-40.4721944496988
"6389","SDHA",65,71670.36,-38.152475455267
"58477","SRPRB",65,53342.22,36.5646142159692
"6294","SAFB",65,45201.73,-15.775145973545
"526","ATP6V1B2",65,42275.01,-172.989618365079
"2962","GTF2F1",65,36637.71,-27.1343087443482
"8266","UBL4A",65,28464.07,0
"5695","PSMB7",65,21412.02,-389.924582895623
"5868","RAB5A",64,105615.81,25.911671479798
"1459","CSNK2A2",64,89332.3,33.2663038018278
"10006","ABI1",64,72298.31,-30.218276529341
"3014","H2AFX",64,30211.58,0
"11315","PARK7",63,61795.44,265.685862195767
"1601","DAB2",63,53681.75,-18.0001995949976
"10980","COPS6",63,51943.51,0
"4087","SMAD2",63,50277.54,0
"6303","SAT1",62,124436.17,-4599.09534286195
"1649","DDIT3",62,115801.48,158.225469090909
"3726","JUNB",62,97027.16,-3.37800638383838
"253260","RICTOR",62,75252.83,-37.0328008943723
"8726","EED",62,55140.22,-40.2398820625301
"23411","SIRT1",62,54093.99,0
"8880","FUBP1",62,51845.45,34.6909116628187
"3550","IK",62,48718.44,-26.7488154338624
"10010","TANK",62,45809.03,38.6795391012506
"5621","PRNP",61,175695.86,180.692095894901
"8815","BANF1",61,73075.62,-56.5124255026455
"57473","ZNF512B",61,64803.27,-0.957727794711703
"6741","SSB",61,58679.95,46.9848563540163
"11171","STRAP",61,53286.92,189.986869487735
"92609","TIMM50",61,41314.72,-35.3050799064454
"5684","PSMA3",61,22478.28,0
"5929","RBBP5",60,82626.13,-27.0249892587783
"8078","USP5",60,63169.86,5.51050282852333
"3662","IRF4",60,54659.02,-81.6809012760943
"10728","PTGES3",60,29823.85,81.7978432049062
"4839","NOP2",60,11169.73,40.3529814771525
"8678","BECN1",59,80440.47,-50.2899565719096
"7376","NR1H2",59,78862.37,-22.8729946435786
"10542","LAMTOR5",59,72954.56,152.218074143819
"826","CAPNS1",59,55757.63,-45.0312767080327
"7265","TTC1",59,52041.49,-42.8001686305916
"3309","HSPA5",59,49396.14,0
"10933","MORF4L1",59,46495.03,-369.950753371813
"5500","PPP1CB",59,38133.45,405.115052621452
"1072","CFL1",59,25088.25,-522.399895622896
"3945","LDHB",59,23058.45,679.664014131794
"8451","CUL4A",59,17430.95,0
"7001","PRDX2",58,68509.29,-347.24430070659
"373","TRIM23",58,64459.03,-6.76095766281866
"4790","NFKB1",58,44605.91,0
"140890","SREK1",58,40522.07,-89.7003715141895
"9657","IQCB1",58,29601.76,0
"7414","VCL",58,26310.28,0
"4683","NBN",58,26155.62,-34.5332284071669
"3609","ILF3",58,22514.81,0
"3725","JUN",57,44463.38,0
"7168","TPM1",57,39224.76,484.400448582323
"1080","CFTR",57,34382.55,0
"10643","IGF2BP3",57,34266.14,22.137900800964
"3192","HNRNPU",57,30597.86,0
"10963","STIP1",57,28294.12,-77.3368158922559
"8531","CSDA",57,27232.74,27.270139052429
"7532","YWHAG",57,21317.58,0
"5997","RGS2",56,104073.1,-32.1846663468014
"2773","GNAI3",56,92602.92,3.83006833973064
"9821","RB1CC1",56,80733.91,-38.2087787602213
"960","CD44",56,79554.53,-392.462905387206
"7283","TUBG1",56,78981.12,-49.2437991741222
"7347","UCHL3",56,62928.1,-62.2713672486773
"3958","LGALS3",56,58137.29,-388.75109975469
"4088","SMAD3",56,42588.99,0
"6714","SRC",56,40777.1,0
"10912","GADD45G",56,34351.55,-2.48814166666667
"3667","IRS1",56,28570.55,2.77337981171236
"11244","ZHX1",55,77002.03,-11.2558502804233
"1495","CTNNA1",55,76467.08,-77.8249014064454
"55968","NSFL1C",55,54442.59,-28.8133503845599
"5829","PXN",55,35631.67,0
"7417","VDAC2",55,33655.49,19.2546968879269
"1933","EEF1B2",55,21236.63,19.465940974026
"6635","SNRPE",55,21204.66,-74.2734652717653
"5694","PSMB6",55,9993.18,-179.743880545935
